Experience,Nodes,PathLoss,Packet_Sent,Packet_Loss,Collisions,Energy,DER,Mathematical-Model,Error,SF7,SF8,SF9,SF10,SF11,SF12,DSF7,DSF8,DSF9,DSF10,DSF11,DSF12
1,500,6,12150,0,417,0.117717101568,96.5679012345679,88.38238159601143,8.185519638556471,0.07298304,0.02641408,0.02224128,0.0,0.0,0.0,387,77,36,0,0,0
1,500,6,11953,0,399,0.067137679872,96.66192587634904,88.38238159601143,8.279544280337603,0.07298304,0.02641408,0.02224128,0.0,0.0,0.0,387,77,36,0,0,0
1,1000,6,24308,0,1655,0.2408372060159999,93.19154187921671,78.95726191356654,14.234279965650174,0.1410628266666666,0.05728768,0.0525141333333333,0.0,0.0,0.0,748,167,85,0,0,0
1,1000,6,24089,0,1594,0.1656058652159999,93.37872057785712,78.95726191356654,14.421458664290569,0.1410628266666666,0.05728768,0.0525141333333333,0.0,0.0,0.0,748,167,85,0,0,0
1,1500,6,36043,0,3413,0.359149080575999,90.53075493160948,70.4787407691711,20.05201416243837,0.2100855466666666,0.0891904,0.07784448,0.0,0.0,0.0,1114,260,126,0,0,0
1,1500,6,35976,0,3325,0.2296223086079994,90.75772737380476,70.4787407691711,20.27898660463368,0.2100855466666666,0.0891904,0.07784448,0.0,0.0,0.0,1114,260,126,0,0,0
1,2000,6,48503,0,6099,0.4791273400319987,87.42552007092344,62.660834606637735,24.764685464285705,0.2826914133333333,0.1132032,0.1056460799999999,0.0,0.0,0.0,1499,330,171,0,0,0
1,2000,6,48092,0,6249,0.3549289313279995,87.00615486983281,62.660834606637735,24.34532026319508,0.2826914133333333,0.1132032,0.1056460799999999,0.0,0.0,0.0,1499,330,171,0,0,0
1,2500,6,60115,0,9063,0.5957498511359988,84.92223238792315,56.03587379329535,28.8863585946278,0.35246848,0.14476288,0.1291229866666666,0.0,0.0,0.0,1869,422,209,0,0,0
1,2500,6,60011,0,9961,0.4286320765439994,83.39971005315692,56.03587379329535,27.36383625986157,0.35246848,0.14476288,0.1291229866666666,0.0,0.0,0.0,1869,422,209,0,0,0
1,6000,6,143983,0,47001,1.4264223283199784,67.35656292756784,26.68480846967845,40.671754457889385,0.8459997866666668,0.34955776,0.3058175999999999,0.0,0.0,0.0,4486,1019,495,0,0,0
1,6000,6,144115,0,47762,1.8391891944960024,66.8556361239288,26.68480846967845,40.17082765425035,0.8459997866666668,0.34955776,0.3058175999999999,0.0,0.0,0.0,4486,1019,495,0,0,0
1,6000,6,143983,0,47001,1.4264223283199784,67.35656292756784,26.68480846967845,40.671754457889385,0.8459997866666668,0.34955776,0.3058175999999999,0.0,0.0,0.0,4486,1019,495,0,0,0
1,6000,6,144128,0,47184,1.5031132807679866,67.26243339253996,26.68480846967845,40.57762492286151,0.8459997866666668,0.34955776,0.3058175999999999,0.0,0.0,0.0,4486,1019,495,0,0,0
1,6000,6,143847,0,63157,6.7685972090879085,56.09154170750868,27.80960006818456,28.28194163932412,0.3771733333333333,0.15059456,0.9582284799999998,1.0107426133333333,0.7833873066666667,3.846826666666667,2000,439,1551,818,317,875
1,6000,6,144007,0,63157,5.075683547135959,56.136160047775455,27.80960006818456,28.326559979590897,0.3771733333333333,0.15059456,0.9582284799999998,1.0107426133333333,0.7833873066666667,3.846826666666667,2000,439,1551,818,317,875
1,6000,6,143753,27783,44910,10.225568179200074,49.42714239007186,27.138542655095176,22.28859973497668,0.3102250666666667,0.11903488,0.7673241599999999,0.7969791999999999,0.6524108799999999,8.164065279999999,1645,347,1242,645,264,1857
1,6000,6,143891,27636,46126,8.804555830271907,48.73133135498398,27.138542655095176,21.592788699888803,0.3102250666666667,0.11903488,0.7673241599999999,0.7969791999999999,0.6524108799999999,8.164065279999999,1645,347,1242,645,264,1857
1,6000,6,143753,27783,44910,10.225568179200074,49.42714239007186,27.138542655095176,22.28859973497668,0.3102250666666667,0.11903488,0.7673241599999999,0.7969791999999999,0.6524108799999999,8.164065279999999,1645,347,1242,645,264,1857
1,6000,6,143891,27672,45030,9.273030326783944,49.47216990638748,28.156451903079688,21.31571800330779,0.2655300266666667,0.20033536,0.7673241599999999,0.7969791999999999,0.6524108799999999,8.164065279999999,1408,584,1242,645,264,1857
1,6000,6,143983,0,47001,1.4264223283199784,67.35656292756784,26.68480846967845,40.671754457889385,0.8459997866666668,0.34955776,0.3058175999999999,0.0,0.0,0.0,4486,1019,495,0,0,0
1,6000,6,144130,0,46639,1.5209474757119894,67.63963088878097,31.25043575124681,36.38919513753416,0.7586841600000002,0.37597184,0.3706879999999999,0.1915221333333333,0.1977002666666666,0.2022331733333333,4023,1096,600,155,80,46
1,6000,6,143983,0,47001,1.4264223283199784,67.35656292756784,26.68480846967845,40.671754457889385,0.8459997866666668,0.34955776,0.3058175999999999,0.0,0.0,0.0,4486,1019,495,0,0,0
1,6000,6,144126,0,47308,1.679927224319994,67.17386175984902,32.337393320835,34.83646843901402,0.7279445333333334,0.35367424,0.4120814933333332,0.31137792,0.2990216533333333,0.30334976,3860,1031,667,252,121,69
1,100,6,2386,0,19,0.024421106688,99.20368818105617,97.74481900483178,1.4588691762243826,0.0133896533333333,0.0072038399999999,0.0049425066666666,0.0,0.0,0.0,71,21,8,0,0,0
1,100,6,2483,0,9,0.016124560896,99.63753523962949,97.74481900483178,1.8927162347977031,0.0133896533333333,0.0072038399999999,0.0049425066666666,0.0,0.0,0.0,71,21,8,0,0,0
1,100,6,7317,0,193,0.107965541376,97.3623069564029,92.5149173139461,4.847389642456804,0.02602496,0.01852416,0.0667238399999999,0.0,0.0,0.0,46,18,36,0,0,0
1,100,6,7112,0,234,0.057590143488,96.70978627671542,92.5149173139461,4.19486896276932,0.02602496,0.01852416,0.0667238399999999,0.0,0.0,0.0,46,18,36,0,0,0
1,5000,6,120690,0,39533,1.673908076543998,67.2400364570387,31.679825876695624,35.560210580343075,0.5163502933333335,0.20479488,1.0286592,0.0,0.0,0.0,2738,597,1665,0,0,0
1,5000,6,119834,0,33990,1.758960183552002,71.63409382979789,38.94930566300717,32.68478816679072,0.4999432533333333,0.2219468799999999,0.6060748799999999,0.4991931733333333,0.50413568,0.4967901866666667,2651,647,981,404,204,113
1,5000,6,360752,0,228015,4.998286166016004,36.79203441699561,6.035354864883602,30.75667955211201,1.5490508800000002,0.61438464,3.0859776,0.0,0.0,0.0,2738,597,1665,0,0,0
1,5000,6,360016,0,223892,4.579700179199997,37.80943069196925,8.372130805919925,29.437299886049324,1.3855462400000005,0.6277632000000001,3.1434342399999995,0.51525632,0.50413568,0.5011865600000001,2449,610,1696,139,68,38
1,5000,6,60236,0,11344,0.8368429977600002,81.16574805763996,54.30814864470877,26.857599412931187,0.2581751466666667,0.10239744,0.5143295999999999,0.0,0.0,0.0,2738,597,1665,0,0,0
1,5000,6,60466,0,14598,0.6452571732479973,75.85419905401383,55.215735586330005,20.638463467683827,0.2581751466666667,0.10239744,0.4998109866666665,0.0098850133333333,0.0284194133333333,0.0175854933333333,2738,597,1618,16,23,8
1,5000,6,60236,0,11344,0.8368429977600002,81.16574805763996,54.30814864470877,26.857599412931187,0.2581751466666667,0.10239744,0.5143295999999999,0.0,0.0,0.0,2738,597,1665,0,0,0
1,5000,6,60461,0,10356,0.8768582453759983,82.86333338846529,62.60647500858894,20.25685837987636,0.19999616,0.18627072,0.3756305066666666,0.1995537066666666,0.2014071466666666,0.2000349866666666,2121,1086,1216,323,163,91
1,5000,6,120690,0,39533,1.673908076543998,67.2400364570387,31.679825876695624,35.560210580343075,0.5163502933333335,0.20479488,1.0286592,0.0,0.0,0.0,2738,597,1665,0,0,0
1,5000,6,119849,0,39144,1.5966132879359964,67.33723268446128,35.58749687084696,31.74973581361432,0.4578884266666667,0.2092544,1.03236608,0.2051140266666666,0.1977002666666666,0.1978368,2428,610,1671,166,80,45
1,5000,6,360752,0,228015,4.998286166016004,36.79203441699561,6.035354864883602,30.75667955211201,1.5490508800000002,0.61438464,3.0859776,0.0,0.0,0.0,2738,597,1665,0,0,0
1,5000,6,360073,0,226212,4.458383099135996,37.17385085802046,7.582554918717364,29.59129593930309,1.4873830400000003,0.63702528,3.05076224,0.2335334399999999,0.20017152,0.21102592,2629,619,1646,63,27,16
1,5000,6,120690,0,39533,1.673908076543998,67.2400364570387,31.679825876695624,35.560210580343075,0.5163502933333335,0.20479488,1.0286592,0.0,0.0,0.0,2738,597,1665,0,0,0
1,5000,6,119852,0,46572,1.347384408575996,61.139572138971396,35.05915433915658,26.080417799814818,0.49994325333333334,0.22091776000000002,0.9471078399999999,0.09267199999999999,0.13097642666666665,0.19344042666666666,2651,644,1533,75,53,44
